_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
2971,4171428,2017.0,1970.0,2023,PRIVATE,12,Toronto-St. Paul's,77 DAVISVILLE AVE,30,483,2023-08-01,92.0,92.0,0,46,3,3.0,3,3.0,3.0,2.0,3.0,3.0,1,3.0,,,3.0,3,3.0,3,2,,3.0,3.0,3.0,3,,2.0,3,3,3,2,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3,2,3,3,3,3,1,3,3,3,3,S1233,43.6984431,-79.3937327,313348.791,4839615.708
2972,4244917,2017.0,2017.0,2023,PRIVATE,12,Toronto-St. Paul's,99 DAVISVILLE AVE,14,179,2023-06-09,100.0,100.0,0,46,3,3.0,3,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,3,3.0,3,,3,3.0,3.0,3.0,3,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1233,43.69883910000001,-79.3929094,313417.998,4839660.997
2976,5358517,2023.0,1965.0,2024,PRIVATE,19,Beaches-East York,53-55 DAWES RD,3,18,2024-08-29,80.0,80.0,0,38,3,2.0,2,,,1.0,3.0,2.0,2,3.0,,2.0,,2,3.0,3,2,,3.0,1.0,2.0,,,1.0,3,,,,2.0,2.0,1.0,,3.0,,2.0,3.0,2.0,3.0,2.0,3,3,3,3,3,3,3,3,3,3,3,S1930,43.6979552,-79.2970736,321187.241,4838707.474
3008,4155396,2017.0,1963.0,2024,PRIVATE,2,Etobicoke Centre,70 DIXFIELD DR,12,141,2024-07-04,93.0,93.0,0,48,3,3.0,3,,3.0,1.0,2.0,3.0,2,3.0,2.0,,3.0,3,3.0,3,3,3,3.0,3.0,3.0,3,3.0,3.0,3,3,3,3,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,W0225,43.6559984,-79.5723411,298944.101,4834902.553
3020,4155365,2017.0,1961.0,2024,PRIVATE,2,Etobicoke Centre,333 DIXON RD,6,55,2024-07-29,81.0,82.0,-1,42,3,2.0,3,,3.0,1.0,1.0,2.0,2,3.0,,,3.0,1,3.0,3,3,,3.0,2.0,2.0,,,3.0,2,,3,3,1.0,2.0,3.0,2.0,3.0,,1.0,3.0,3.0,3.0,3.0,3,2,3,3,3,3,1,3,2,3,3,W0222,43.6945391,-79.5556415,300298.134,4839176.844
3056,4153619,2017.0,1940.0,2024,PRIVATE,14,Toronto-Danforth,846-850 BROADVIEW AVE,3,23,2024-09-11,93.0,93.0,0,34,3,3.0,,,,3.0,,3.0,3,3.0,,,3.0,3,2.0,3,3,,3.0,3.0,,,,3.0,3,,,,2.0,3.0,2.0,,,,2.0,3.0,3.0,1.0,3.0,3,3,3,3,1,3,3,3,3,3,2,S1424,43.6729037,-79.3557688,316188.231,4837458.031
3059,4153617,2017.0,1955.0,2024,PRIVATE,14,Toronto-Danforth,856-858 BROADVIEW AVE,4,23,2024-06-24,99.0,99.0,0,38,3,3.0,,,3.0,3.0,,3.0,3,3.0,,,3.0,3,3.0,3,3,3,3.0,3.0,,,,2.0,3,,,,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1424,43.6729037,-79.3557688,316192.655,4837481.068
3070,4250615,2017.0,1965.0,2023,PRIVATE,15,Don Valley West,66 BROADWAY AVE,20,357,2023-09-07,92.0,92.0,0,47,3,3.0,3,3.0,3.0,2.0,3.0,3.0,3,3.0,,,3.0,3,3.0,3,3,2,3.0,2.0,3.0,3,,2.0,3,2,3,3,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2,2,3,3,3,3,3,3,3,3,3,N1526,43.7108239,-79.3953066,313216.138,4840974.674
3105,4303769,2018.0,1968.0,2024,PRIVATE,2,Etobicoke Centre,63 CALLOWHILL DR,10,112,2024-07-10,74.0,74.0,0,47,3,2.0,3,2.0,3.0,1.0,1.0,2.0,2,3.0,,3.0,3.0,1,3.0,3,3,,3.0,2.0,3.0,,3.0,1.0,3,2,2,2,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,3,1,3,1,1,1,1,1,1,1,1,W0221,43.6832921,-79.5636383,299662.554,4837921.687
3217,5241001,2023.0,2022.0,2023,PRIVATE,11,University-Rosedale,555 COLLEGE ST,9,61,2023-10-12,99.0,99.0,0,46,3,3.0,,3.0,3.0,3.0,3.0,3.0,,3.0,,3.0,3.0,3,3.0,3,3,3,3.0,3.0,3.0,,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,2,3,2,3,S1142,43.6552779,-79.4120766,311884.95,4834820.415
3379,4475546,2019.0,2016.0,2024,PRIVATE,19,Beaches-East York,763 WOODBINE AVE,7,64,2024-06-27,95.0,95.0,0,42,3,3.0,,,,3.0,3.0,3.0,3,3.0,,,3.0,1,3.0,3,,,3.0,3.0,3.0,,3.0,3.0,3,3,3,3,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,1,1,3,3,3,3,1,3,S1935,43.6807768,-79.3104212,320072.003,4837664.262
3448,5294330,2023.0,2023.0,2023,PRIVATE,16,Don Valley East,1225 YORK MILLS RD,12,140,2023-10-26,96.0,96.0,0,45,3,3.0,3,3.0,3.0,3.0,3.0,3.0,,3.0,,3.0,3.0,2,3.0,3,,,3.0,3.0,3.0,,3.0,3.0,3,3,3,3,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,2,3,2,3,3,3,3,1,3,3,N1625,43.7595664,-79.3309439,318396.216,4846414.819
3459,4520827,2019.0,2018.0,2023,TCHC,8,Eglinton-Lawrence,20 ZACHARY CRT,7,77,2023-06-29,94.0,94.0,0,45,3,3.0,,,3.0,3.0,3.0,3.0,,3.0,,3.0,3.0,3,3.0,3,2,2,3.0,3.0,2.0,,2.0,3.0,3,2,3,2,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3,2,3,3,3,3,3,3,3,0,3,N0823,,,308987.948,4842332.775
3461,5333758,2023.0,2022.0,2024,PRIVATE,2,Etobicoke Centre,55 WARRENDER AVE,16,259,2024-08-08,99.0,99.0,0,46,3,3.0,3,3.0,3.0,3.0,3.0,3.0,,3.0,,3.0,3.0,3,3.0,3,,3,3.0,3.0,3.0,,3.0,3.0,3,3,3,3,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,W0227,43.6758262,-79.55476829999999,300369.068,4837093.661
3503,5346159,2023.0,2023.0,2024,PRIVATE,10,Spadina-Fort York,425 WELLINGTON ST W,13,171,2024-07-30,99.0,99.0,0,43,3,3.0,,,3.0,3.0,3.0,3.0,,3.0,,,3.0,3,3.0,3,,2,3.0,3.0,3.0,,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1032,43.6434736,-79.396098,313151.713,4833448.114
3504,5353316,2024.0,2023.0,2024,PRIVATE,10,Spadina-Fort York,435 WELLINGTON ST W,13,160,2024-07-30,98.0,98.0,0,43,3,3.0,,,3.0,3.0,3.0,3.0,,3.0,,,3.0,3,3.0,3,,2,3.0,3.0,3.0,,3.0,3.0,3,2,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1032,43.6434122,-79.39641309999999,313148.671,4833494.299
3566,4155927,2017.0,1971.0,2024,PRIVATE,1,Etobicoke North,10 WILLOWRIDGE RD,20,328,2024-09-12,89.0,90.0,-1,45,2,3.0,3,,3.0,2.0,3.0,3.0,2,3.0,,,3.0,3,3.0,2,3,2,3.0,3.0,3.0,,,3.0,3,2,3,2,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3,3,3,3,3,3,3,3,3,3,3,W0137,43.6751161,-79.5684808,299268.886,4837017.142
