_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
417,4897867,2021.0,2020.0,2023,PRIVATE,11,University-Rosedale,99 GERRARD ST W,32,275,2023-10-24,98.0,98.0,0,46,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3,3.0,,,3.0,3,3.0,3,,,3.0,3.0,3.0,3,3.0,3.0,3,2,3,3,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1145,43.6580447,-79.3860839,313970.923,4835138.057
520,4639099,2019.0,2018.0,2024,PRIVATE,5,York South-Weston,22 JOHN ST,31,369,2024-06-20,94.0,94.0,0,43,3,2.0,,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,1,3.0,3,,3,3.0,3.0,3.0,,3.0,,3,3,3,3,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3,2,3,2,3,3,3,3,3,2,3,W0524,43.6444877,-79.3891804,303360.889,4839990.558
557,4155862,2018.0,1952.0,2024,PRIVATE,20,Scarborough Southwest,46 GLEN EVEREST RD,3,16,2024-09-30,65.0,65.0,0,37,3,2.0,1,2.0,3.0,2.0,,1.0,3,3.0,,,,1,1.0,1,,,2.0,2.0,1.0,,,2.0,3,,,,1.0,1.0,3.0,,3.0,,1.0,1.0,3.0,3.0,2.0,3,1,3,1,1,1,1,1,1,1,1,E2035,43.7016974,-79.2533986,324668.064,4839998.792
637,4153484,2017.0,1900.0,2023,SOCIAL HOUSING,13,Toronto Centre,32 GRENVILLE ST,12,50,2023-07-12,97.0,97.0,0,42,3,3.0,3,,,3.0,,3.0,,3.0,,,3.0,3,3.0,3,3,3,3.0,2.0,3.0,,3.0,,3,2,3,3,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1325,43.6619476,-79.3853152,314032.437,4835559.403
659,4156565,2017.0,1968.0,2023,PRIVATE,5,York South-Weston,15 HARDING AVE,19,335,2023-08-25,92.0,92.0,0,44,3,3.0,,,3.0,3.0,3.0,3.0,2,3.0,,,3.0,3,3.0,3,2,,3.0,3.0,2.0,,3.0,2.0,3,2,3,3,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3,3,3,3,3,3,3,3,3,3,3,W0528,43.6991469,-79.5015258,304655.788,4839682.129
690,4152935,2017.0,1969.0,2024,PRIVATE,4,Parkdale-High Park,40 HIGH PARK AVE,20,331,2024-08-13,87.0,88.0,-1,46,3,2.0,3,3.0,3.0,3.0,3.0,3.0,3,3.0,,,3.0,1,3.0,3,3,3,3.0,3.0,2.0,,,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3,2,3,1,3,3,3,1,1,1,3,S0428,43.6548908,-79.4662967,307496.989,4834752.748
706,5228227,2023.0,2022.0,2023,PRIVATE,15,Don Valley West,730 HILLSDALE AVE E,7,146,2023-10-26,100.0,100.0,0,46,3,3.0,3,3.0,3.0,3.0,3.0,3.0,,3.0,,3.0,3.0,3,3.0,3,3,,3.0,3.0,3.0,,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,N1530,43.7078466,-79.3763117,314748.72,4840670.993
711,4156296,2017.0,1963.0,2023,PRIVATE,12,Toronto-St. Paul's,33 HOLLY ST,14,162,2023-08-14,95.0,95.0,0,41,3,,3,3.0,3.0,3.0,,3.0,3,3.0,,,3.0,3,3.0,3,3,3,3.0,2.0,2.0,,,,3,,3,2,3.0,3.0,3.0,3.0,3.0,,2.0,2.0,3.0,3.0,3.0,3,2,3,3,3,3,1,3,3,3,3,S1228,43.7058377,-79.3958703,313151.623,4840442.969
756,4153540,2017.0,2016.0,2024,PRIVATE,13,Toronto Centre,66 ISABELLA ST,27,411,2024-06-26,95.0,95.0,0,46,3,3.0,3,,3.0,3.0,3.0,2.0,3,3.0,,,3.0,3,2.0,3,3,3,3.0,3.0,3.0,,3.0,2.0,3,3,3,2,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1322,43.6685075,-79.3828967,314228.321,4836286.651
925,4155730,2017.0,2010.0,2024,PRIVATE,9,Davenport,45 LISGAR ST,14,291,2024-08-15,89.0,89.0,0,40,3,3.0,,,,2.0,3.0,2.0,,2.0,,,3.0,3,2.0,2,3,,3.0,2.0,,,3.0,2.0,3,3,3,3,2.0,2.0,3.0,3.0,,3.0,2.0,2.0,3.0,3.0,2.0,3,3,3,3,3,3,3,3,3,3,3,S0937,43.6418139,-79.4228476,311015.908,4833355.956
931,4153630,2017.0,1927.0,2024,PRIVATE,14,Toronto-Danforth,245-247 LOGAN AVE,4,21,2024-06-27,90.0,90.0,0,33,3,3.0,,,,3.0,,1.0,2,3.0,,,3.0,3,3.0,3,3,,,3.0,,,,,3,,,,2.0,2.0,3.0,,3.0,,2.0,3.0,3.0,1.0,3.0,1,3,3,3,3,3,3,3,3,3,3,S1441,40.8178049,-73.8157523,317503.543,4835393.504
935,5207679,2023.0,2022.0,2024,PRIVATE,12,Toronto-St. Paul's,215 LONSDALE RD,20,177,2024-07-11,100.0,100.0,0,45,3,3.0,3,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,3,3.0,3,,3,3.0,3.0,3.0,,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1231,43.6904727,-79.4035839,312559.07,4838724.578
968,4236708,2017.0,2016.0,2023,PRIVATE,15,Don Valley West,77 KEEWATIN AVE,8,79,2023-11-08,99.0,99.0,0,46,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3,3.0,,,3.0,3,3.0,3,3,3,3.0,3.0,,,3.0,2.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,N1526,43.7125886,-79.3970222,313138.717,4841192.59
1007,4268538,2017.0,1974.0,2023,PRIVATE,5,York South-Weston,33 KING ST,27,420,2023-06-30,95.0,95.0,0,45,3,3.0,,,3.0,3.0,3.0,3.0,3,3.0,,,3.0,3,3.0,3,3,,3.0,3.0,2.0,3,3.0,3.0,3,2,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,1,1,1,3,W0525,43.7006446,-79.5204742,303250.926,4840049.806
1044,4153690,2018.0,1950.0,2023,PRIVATE,19,Beaches-East York,501 KINGSTON RD,7,75,2023-10-23,87.0,87.0,0,43,3,2.0,2,2.0,3.0,2.0,3.0,3.0,2,2.0,,,3.0,3,2.0,3,2,,3.0,3.0,2.0,,,2.0,3,,3,2,2.0,2.0,3.0,3.0,2.0,,2.0,2.0,3.0,3.0,3.0,3,2,3,3,3,3,3,3,3,3,3,S1938,43.6771891,-79.30266139999999,320697.34,4837263.304
1082,4156242,2017.0,1985.0,2023,SOCIAL HOUSING,24,Scarborough-Guildwood,4201 KINGSTON RD,3,41,2023-07-06,92.0,93.0,-1,37,3,2.0,,,3.0,3.0,3.0,2.0,3,3.0,,,3.0,3,2.0,2,3,,3.0,3.0,,,,3.0,3,,,,2.0,2.0,3.0,,3.0,,3.0,2.0,3.0,3.0,2.0,3,3,3,3,3,3,3,3,3,3,3,E2432,43.75985319999999,-79.1955002,329252.877,4846512.146
1215,4153218,2017.0,1907.0,2023,PRIVATE,11,University-Rosedale,93-99 MADISON AVE,3,17,2023-10-17,90.0,90.0,0,39,3,3.0,3,3.0,3.0,2.0,3.0,3.0,2,3.0,,,3.0,3,3.0,2,3,,3.0,3.0,,,,,3,,3,,3.0,3.0,3.0,,3.0,,3.0,3.0,3.0,3.0,3.0,3,3,3,1,1,1,1,1,1,1,1,S1127,,,312525.277,4836561.438
1267,4451371,2018.0,2017.0,2024,PRIVATE,17,Don Valley North,123 PARKWAY FOREST DR,20,188,2024-09-23,95.0,95.0,0,44,3,3.0,,3.0,3.0,3.0,3.0,3.0,3,3.0,,,3.0,3,3.0,3,,3,3.0,3.0,,,3.0,3.0,3,2,3,3,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3,3,3,3,3,3,2,3,1,3,3,N1730,43.7756822,-79.34159129999999,317528.543,4848086.948
1280,4250288,2017.0,1989.0,2024,SOCIAL HOUSING,13,Toronto Centre,305-307 PARLIAMENT ST,3,10,2024-09-15,79.0,79.0,0,38,2,1.0,2,3.0,2.0,1.0,2.0,1.0,3,2.0,,2.0,,3,2.0,2,2,,,3.0,,,,,3,,,,2.0,2.0,2.0,3.0,3.0,,3.0,3.0,2.0,3.0,3.0,3,2,3,3,3,3,3,3,1,3,3,S1330,29.5480631,-98.5111967,315626.782,4835245.653
1327,4789395,2020.0,2019.0,2023,PRIVATE,3,Etobicoke-Lakeshore,571 PRINCE EDWARD DR N,8,115,2023-08-29,94.0,94.0,0,46,3,3.0, 3,3.0,3.0,3.0,3.0,3.0, N/A,3.0,,3.0,3.0,3,3.0,3, N/A, 3,3.0,3.0,3.0,,3.0,3.0,3, 1,3,3,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3,3,3,1,3,3,1,3,1,3,1,W0322,43.6604186,-79.50996130000001,303978.296,4835359.585
1330,5144479,2022.0,2020.0,2024,PRIVATE,4,Parkdale-High Park,55 QUEBEC AVE,25,264,2024-07-18,92.0,92.0,0,44,3,3.0,3,,,3.0,3.0,3.0,,3.0,,,3.0,1,3.0,3,,3,3.0,3.0,3.0,3,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,1,3,3,1,1,1,1,3,S0428,43.6545095,-79.4670282,307442.641,4834735.62
1331,4152934,2017.0,1969.0,2024,PRIVATE,4,Parkdale-High Park,77 QUEBEC AVE,21,330,2024-08-20,84.0,85.0,-1,44,3,3.0,,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,1,3.0,3,2,3,3.0,3.0,2.0,,,3.0,3,3,3,2,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,3,2,3,1,3,3,3,1,1,1,3,S0428,43.6555683,-79.4673132,307422.34,4834828.072
1337,4153623,2017.0,1988.0,2024,SOCIAL HOUSING,14,Toronto-Danforth,1187-1189 QUEEN ST E,4,34,2024-07-22,90.0,90.0,0,40,3,2.0,3,,3.0,3.0,,2.0,3,2.0,,,3.0,3,3.0,2,2,,3.0,3.0,,,,3.0,3,2,3,3,3.0,2.0,3.0,,,3.0,3.0,2.0,3.0,3.0,3.0,3,3,3,1,3,3,3,3,3,3,3,S1441,43.6624614,-79.331549,318356.222,4835654.831
1369,4219140,2017.0,2011.0,2024,PRIVATE,2,Etobicoke Centre,620 MARTIN GROVE RD,22,236,2024-08-27,95.0,95.0,0,47,3,3.0,3,,3.0,3.0,2.0,3.0,3,3.0,2.0,3.0,3.0,3,3.0,3,3,3,3.0,3.0,,,3.0,2.0,3,3,3,3,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,W0227,43.6751733,-79.5651433,,
1393,4594874,2019.0,2019.0,2024,PRIVATE,24,Scarborough-Guildwood,40 MEADOWGLEN PL,17,146,2024-09-17,91.0,91.0,0,45,3,3.0,,3.0,3.0,3.0,3.0,3.0,3,3.0,,,3.0,3,3.0,3,3,,3.0,3.0,1.0,,3.0,3.0,3,2,3,3,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,2,3,1,1,1,1,1,1,1,1,E2426,43.7750083,-79.22997819999999,326505.793,4848140.502
1485,5407309,,2021.0,2024,SOCIAL HOUSING,8,Eglinton-Lawrence,20 NEW HEIGHTS CRT,8,78,2024-07-31,98.0,98.0,0,44,3,3.0,,3.0,,3.0,3.0,3.0,,3.0,,,3.0,3,2.0,3,3,3,3.0,3.0,3.0,,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3,2,3,3,3,3,3,3,3,3,3,N0823,43.72273999999999,-79.44619999999999,309119.193,4842310.682
1494,5118732,2022.0,2021.0,2023,PRIVATE,13,Toronto Centre,25 NICHOLAS AVE,29,346,2023-07-06,100.0,100.0,0,42,3,3.0,,,3.0,3.0,,3.0,,3.0,,,3.0,3,3.0,3,,3,3.0,3.0,3.0,,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1330,43.65958670000001,-79.3580551,316225.666,4835308.898
1535,4156726,2017.0,2012.0,2023,SOCIAL HOUSING,13,Toronto Centre,40 OAK ST,4,87,2023-07-14,80.0,80.0,0,45,3,2.0,3,,3.0,3.0,,2.0,2,2.0,,3.0,3.0,1,1.0,2,2,,3.0,3.0,2.0,,3.0,2.0,3,2,3,2,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,3,1,3,1,3,3,3,3,1,3,3,S1330,43.6613728,-79.36515039999999,315649.499,4835505.392
1593,4283407,2019.0,,2023,SOCIAL HOUSING,13,Toronto Centre,20 PALACE ST,10,108,2023-06-29,93.0,93.0,0,44,3,3.0,3,,3.0,3.0,,3.0,2,3.0,,,3.0,2,3.0,3,2,3,3.0,3.0,,,3.0,3.0,3,3,2,3,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,2,3,3,3,3,1,3,1,3,3,S1336,43.4220511,-80.49297080000001,316346.038,4834659.18
1687,4333386,2019.0,2018.0,2024,PRIVATE,13,Toronto Centre,561 SHERBOURNE ST,43,369,2024-06-26,98.0,98.0,0,43,3,3.0,,,3.0,3.0,3.0,3.0,,3.0,,,3.0,3,3.0,3,3,3,3.0,3.0,,,3.0,2.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1323,43.6694612,-79.3751421,314838.816,4836396.822
1714,4697372,2019.0,2019.0,2023,PRIVATE,17,Don Valley North,55 SMOOTH ROSE CRT,27,301,2023-10-05,91.0,92.0,-1,44,2,3.0,,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,2,3.0,3,,3,3.0,3.0,3.0,,3.0,3.0,3,2,3,3,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,2,3,2,1,1,1,3,N1731,43.7743998,-79.3334421,318235.3,4848061.845
1715,5348106,2023.0,2021.0,2024,PRIVATE,10,Spadina-Fort York,15 SOLIDARITY WAY,26,440,2024-08-15,100.0,100.0,0,46,3,3.0,3,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,3,3.0,3,,3,3.0,3.0,3.0,3,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1027,43.6390555,-79.4111242,311949.604,4833004.031
1726,4153192,2018.0,1963.0,2024,PRIVATE,11,University-Rosedale,68-72 SPADINA RD,11,157,2024-09-12,92.0,92.0,0,44,3,3.0,3,2.0,3.0,1.0,3.0,3.0,,3.0,,,3.0,3,3.0,3,3,3,3.0,3.0,,,2.0,1.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,,3.0,1.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1126,43.6706601,-79.4058103,312395.552,4836492.651
1736,4356202,2018.0,2017.0,2024,PRIVATE,4,Parkdale-High Park,36 SPENCER AVE,8,46,2024-07-26,92.0,92.0,0,44,3,3.0,3,,3.0,3.0,,3.0,3,2.0,,,3.0,3,3.0,3,2,3,3.0,2.0,3.0,,3.0,,3,3,3,3,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,1,1,1,3,S0437,43.6349753,-79.429994,310432.662,4832559.495
1790,4813513,,,2024,TCHC,13,Toronto Centre,50 REGENT PARK BLVD,9,155,2024-09-11,82.0,82.0,0,43,2,2.0,,,3.0,2.0,3.0,3.0,,2.0,,,3.0,1,3.0,3,3,2,3.0,3.0,,,3.0,2.0,3,2,1,2,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2,3,3,3,1,1,1,1,1,1,1,S1330,43.6593072,-79.3616735,315935.106,4835284.625
1798,4156153,2017.0,1969.0,2023,PRIVATE,1,Etobicoke North,7 RICHGROVE DR,11,129,2023-07-06,97.0,97.0,0,46,3,0.0,3,,3.0,3.0,3.0,3.0,3,3.0,3.0,,3.0,3,3.0,3,3,,3.0,3.0,3.0,3,,2.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3,3,3,3,3,3,3,3,3,3,3,W0137,43.675959,-79.5644454,299527.406,4837162.739
1839,4153800,2017.0,1973.0,2023,PRIVATE,12,Toronto-St. Paul's,101 ROEHAMPTON AVE,20,129,2023-10-18,98.0,98.0,0,45,3,3.0,3,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,2,3.0,3,2,,3.0,3.0,3.0,,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1221,43.7083877,-79.39550109999999,313214.933,4840717.855
1844,4153806,2017.0,1970.0,2023,PRIVATE,15,Don Valley West,299 ROEHAMPTON AVE,12,224,2023-08-03,88.0,88.0,0,47,3,2.0,,2.0,3.0,2.0,3.0,3.0,3,2.0,,3.0,3.0,3,2.0,2,2,2,3.0,3.0,,3,3.0,2.0,3,2,3,3,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3,3,2,1,3,3,3,3,3,3,3,N1537,43.7097638,-79.3895486,313710.324,4840865.462
1943,4156772,2017.0,2015.0,2024,TCHC,13,Toronto Centre,180 SACKVILLE ST,9,83,2024-06-20,96.0,96.0,0,42,3,3.0,,3.0,3.0,2.0,,3.0,,3.0,,,3.0,3,3.0,3,3,3,3.0,3.0,,,,2.0,3,2,3,3,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S1330,43.6584854,-79.3626118,315865.16,4835184.93
1944,4156706,2017.0,2013.0,2024,TCHC,13,Toronto Centre,230 SACKVILLE ST,10,155,2024-08-26,92.0,92.0,0,46,3,3.0,,2.0,3.0,3.0,3.0,3.0,2,3.0,,,3.0,3,2.0,3,3,2,3.0,3.0,3.0,,3.0,2.0,3,2,3,3,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2,3,3,3,3,3,1,3,3,3,3,S1330,43.6597279,-79.3630404,315831.119,4835315.526
2024,4156324,2017.0,1972.0,2024,PRIVATE,7,Humber River-Black Creek,2000 SHEPPARD AVE W,20,266,2024-09-26,90.0,91.0,-1,41,3,2.0,,,3.0,2.0,3.0,3.0,3,3.0,,,3.0,3,3.0,3,2,,3.0,3.0,,,,3.0,3,,3,3,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3,2,3,2,1,1,1,3,1,3,3,W0729,43.7394598,-79.51550759999999,303547.403,4844129.347
2039,4250641,2018.0,1949.0,2024,PRIVATE,14,Toronto-Danforth,338-342 DONLANDS AVE,3,36,2024-08-15,97.0,97.0,0,37,3,3.0,,,3.0,3.0,,3.0,3,3.0,,3.0,3.0,2,3.0,3,3,,3.0,3.0,,,,2.0,3,,,,3.0,3.0,3.0,,3.0,,3.0,3.0,3.0,3.0,3.0,3,3,3,2,3,3,3,3,3,3,3,S1422,43.692974,-79.3426125,317463.051,4839006.188
2045,4327919,2018.0,1960.0,2023,PRIVATE,9,Davenport,382 DOVERCOURT RD,3,18,2023-10-02,70.0,70.0,0,34,3,2.0,2,1.0,,2.0,,2.0,2,2.0,,,3.0,1,2.0,2,,,2.0,2.0,,,,,3,,,,2.0,2.0,3.0,,,,2.0,1.0,2.0,3.0,2.0,3,1,2,3,2,2,2,2,2,2,2,S0934,43.6520519,-79.4260151,310741.707,4834457.583
2073,5228921,2023.0,2021.0,2023,PRIVATE,9,Davenport,400 DUFFERIN ST,13,152,2023-10-10,99.0,99.0,0,42,3,3.0,,,3.0,3.0,3.0,3.0,3,3.0,,,3.0,3,3.0,3,,3,3.0,3.0,2.0,,,,3,3,3,3,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S0936,43.6438751,-79.4294505,310466.16,4833549.261
2074,5228929,2023.0,2021.0,2023,PRIVATE,9,Davenport,410 DUFFERIN ST,10,198,2023-10-10,100.0,100.0,0,49,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,3.0,3,3.0,3,,3,3.0,3.0,3.0,3,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,S0936,43.6443017,-79.42972569999999,310455.909,4833593.393
2133,4156200,2017.0,1987.0,2023,SOCIAL HOUSING,6,York Centre,625 FINCH AVE W,14,123,2023-09-01,87.0,87.0,0,40,3,3.0,,,3.0,2.0,3.0,2.0,2,3.0,,,3.0,3,3.0,3,2,,3.0,3.0,,,,1.0,3,,3,3,2.0,2.0,2.0,3.0,,2.0,2.0,3.0,3.0,3.0,2.0,3,2,3,2,3,3,1,3,1,3,3,N0624,43.7710003,-79.45431320000002,308349.302,4847683.871
2134,4154619,2017.0,1964.0,2024,PRIVATE,6,York Centre,707-711 FINCH AVE W,7,150,2024-09-25,92.0,92.0,0,45,3,2.0,3,3.0,3.0,1.0,3.0,3.0,3,2.0,,,3.0,3,3.0,3,3,,3.0,2.0,3.0,,,2.0,3,3,3,3,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,N0624,43.7693689,-79.46159229999999,307885.741,4847532.729
2149,4155845,2017.0,1953.0,2024,PRIVATE,5,York South-Weston,33 FLAMBOROUGH DR - BLDG A,3,11,2024-09-12,96.0,96.0,0,38,3,3.0,3,3.0,,2.0,,2.0,,3.0,,,3.0,3,3.0,3,3,3,3.0,3.0,3.0,,,2.0,3,,,,3.0,3.0,3.0,3.0,,,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,W0529,43.7017821,-79.47790429999999,,
2150,5299588,2023.0,1953.0,2024,PRIVATE,5,York South-Weston,33 FLAMBOROUGH DR UNIT D,3,11,2024-09-12,97.0,97.0,0,36,3,3.0,3,3.0,,2.0,,3.0,,3.0,,,3.0,3,3.0,3,3,,3.0,3.0,3.0,,,2.0,3,,,,3.0,3.0,3.0,,,,2.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,W0529,43.7017821,-79.47790429999999,,
2151,5299592,2023.0,1953.0,2024,PRIVATE,5,York South-Weston,33 FLAMBOROUGH DR UNIT C,3,11,2024-09-12,98.0,98.0,0,37,3,3.0,3,3.0,,2.0,,3.0,3,3.0,,,3.0,3,3.0,3,3,,3.0,3.0,3.0,,,2.0,3,,,,3.0,3.0,3.0,,,,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,W0529,43.7017821,-79.47790429999999,,
2152,5299600,2023.0,1953.0,2024,PRIVATE,5,York South-Weston,33 FLAMBOROUGH DR UNIT B,3,10,2024-09-12,98.0,98.0,0,37,3,3.0,3,3.0,,2.0,,3.0,,3.0,,,3.0,3,3.0,3,3,3,3.0,3.0,3.0,,,2.0,3,,,,3.0,3.0,3.0,,,,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,W0529,43.7017821,-79.47790429999999,,
2169,4154812,2017.0,1967.0,2024,PRIVATE,17,Don Valley North,65 FOREST MANOR RD,17,218,2024-06-14,88.0,88.0,0,43,3,3.0,,,3.0,3.0,3.0,3.0,3,3.0,2.0,,3.0,3,3.0,3,3,,,1.0,1.0,,,3.0,3,1,3,3,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3,2,3,3,3,1,3,1,1,1,3,N1730,43.77343279999999,-79.34395339999999,317344.573,4847953.138
2218,4288175,2018.0,1960.0,2023,PRIVATE,4,Parkdale-High Park,2861-2863 DUNDAS ST W,3,16,2023-07-17,80.0,80.0,0,33,3,,,,,1.0,,1.0,2,,,,3.0,3,2.0,2,2,,3.0,2.0,,,,,3,,,,1.0,2.0,3.0,3.0,3.0,,1.0,2.0,3.0,3.0,2.0,3,3,3,3,3,3,3,2,2,2,2,S0424,43.6653226,-79.4650516,307610.618,4835918.417
2219,5383939,2024.0,2021.0,2024,PRIVATE,4,Parkdale-High Park,3385 DUNDAS ST W,7,131,2024-08-27,97.0,97.0,0,43,3,3.0,3,,3.0,3.0,3.0,3.0,,3.0,,,3.0,3,3.0,3,,,3.0,3.0,3.0,,3.0,3.0,3,3,3,3,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,1,3,3,S0422,43.6653771,-79.4842287,306032.376,4835939.795
