_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved (2017 - Present),Total ARH Approved (2017 - Present),Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
90,ARH0128,30 Gilder Drive,30 Gilder Dr,Final Planning Approval,21,Scarborough Centre,58,58,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.25653121, 43.73714583]]}"
91,ARH0129,300 - 304 The East Mall,300 The East Mall,Pre-Planning,2,Etobicoke Centre,172,172,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.557439, 43.63725567]]}"
92,ARH0130,3000 Dufferin Street,3000 Dufferin St,Under Review,8,Eglinton-Lawrence,10,10,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.45503098, 43.71108689]]}"
93,ARH0131,306-310 Gerrard Street East,306 Gerrard St E,Under Review,13,Toronto Centre,0,96,0,96,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36647126, 43.66246552]]}"
94,ARH0132,315 and 325 Front Street West and Rail Corridor,315 Front St W,Under Review,10,Spadina-Fort York,32,32,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3899116, 43.64351375]]}"
95,ARH0133,315-325 Spadina Avenue,315 Spadina Ave,Pre-Planning,11,University-Rosedale,22,22,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39814556, 43.65421896]]}"
96,ARH0134,316 - 336 Campbell Avenue,316 Campbell Ave,Under Review,9,Davenport,21,21,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4504038, 43.66625806]]}"
97,ARH0135,321 Dovercourt (formerly 150 Harrison Street),321 Dovercourt Rd,Occupied,9,Davenport,0,44,0,44,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.42494999, 43.65067783]]}"
98,ARH0139,3326 Bloor Street West and 1226 Islington Ave (Bloor/Islington),3326 Bloor St W,Under Review,3,Etobicoke-Lakeshore,444,493,466,49,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.52539249, 43.64459812]]}"
99,ARH0141,3377 Bayview Avenue,3377 Bayview Ave,Final Planning Approval,17,Don Valley North,752,752,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39208386, 43.79714553]]}"
100,ARH0142,3379 - 3385 Lawrence Avenue East,3385 Lawrence Ave E,Under Review,24,Scarborough-Guildwood,37,37,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.23336139, 43.75768999]]}"
101,ARH0144,34 Kessack Court,34 Kessack Crt,Occupied,25,Scarborough-Rouge Park,2,2,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.21690349, 43.80057372]]}"
102,ARH0145,25 - 35 Bellevue Avenue,35 Bellevue Ave,Under Review,11,University-Rosedale,0,78,0,78,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.40288078, 43.65376695]]}"
103,ARH0146,351 Lake Shore Boulevard East (Central and South Blocks),351 Lake Shore Blvd E,Under Review,10,Spadina-Fort York,67,67,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.35968834, 43.64797447]]}"
104,ARH0147,351 Lake Shore Boulevard East (North Block),351 Lake Shore Blvd E,Under Review,10,Spadina-Fort York,45,45,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.35968834, 43.64797447]]}"
105,ARH0148,353 - 355 Sherbourne Street and 157 Carlton Street,355 Sherbourne St,Under Review,13,Toronto Centre,31,31,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37262937, 43.66303625]]}"
106,ARH0149,355 - 363 Coxwell Avenue,355 Coxwell Ave,Final Planning Approval,19,Beaches-East York,47,47,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.32010865, 43.67577635]]}"
107,ARH0153,3817 Lawrence Avenue East,3817 Lawrence Ave E,Under Review,24,Scarborough-Guildwood,111,111,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.21234346, 43.76213102]]}"
108,ARH0154,3850 and 3900 Sheppard Avenue East and 2350 to 2362 Kennedy Road,3850 Sheppard Ave E,Under Review,22,Scarborough-Agincourt,272,272,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.29225268, 43.78393853]]}"
109,ARH0156,39 Dundalk Drive (formerly 7 Glamorgan Ave),39 Dundalk Dr,Occupied,21,Scarborough Centre,0,57,0,57,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.28490996, 43.76840237]]}"
110,ARH0157,393 Dundas Street East,393 Dundas St E,Final Planning Approval,13,Toronto Centre,0,12,0,12,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36796119, 43.65877465]]}"
111,ARH0158,3933 Keele Street,3933 Keele St,Under Construction,6,York Centre,59,65,125,7,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4902589, 43.76300865]]}"
112,ARH0159,40 Bushby Drive,40 Bushby Dr,Pre-Planning,24,Scarborough-Guildwood,443,492,491,49,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.25113216, 43.7745567]]}"
113,ARH0160,4040 Lawrence Avenue East,4040 Lawrence Ave E,Final Planning Approval,24,Scarborough-Guildwood,60,67,67,7,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.19901183, 43.76600352]]}"
114,ARH0161,405 Sherbourne Street,405 Sherbourne St,Under Review,13,Toronto Centre,80,89,178,9,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37335558, 43.66460723]]}"
115,ARH0162,419 - 425 Coxwell Avenue,425 Coxwell Ave,Occupied,19,Beaches-East York,0,12,0,12,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.32086239, 43.67748517]]}"
116,ARH0163,4201 & 4203 Kingston Road,4201 Kingston Rd,Pre-Planning,24,Scarborough-Guildwood,68,68,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1961097, 43.75940725]]}"
117,ARH0166,450 - 455 Palmerston Blvd,455 Palmerston Blvd,Under Review,11,University-Rosedale,0,10,0,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41198614, 43.66123297]]}"
118,ARH0168,4626 Kingston Road phase 1,4626 Kingston Rd,Occupied,25,Scarborough-Rouge Park,0,20,0,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.17989488, 43.77514363]]}"
119,ARH0169,4628 Kingston Road phase 2,4628 Kingston Rd,Under Construction,25,Scarborough-Rouge Park,0,64,0,64,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.17989488, 43.77514363]]}"
120,ARH0170,48 Annette Street,48 Annette St,Under Review,4,Parkdale-High Park,3,3,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.46135028, 43.66389279]]}"
121,ARH0171,"5, 7, 9, 11, 15 and 19 Cosburn Avenue and 8, 10, 12, 14, 16, 30, 32, 34, 36, 38 and 40 Gowan Avenue",5 Cosburn Ave,Under Review,14,Toronto-Danforth,10,10,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.354556, 43.688269]]}"
